OBJECTID,ZONING,created_user,created_date,last_edited_user,last_edited_date,STR_TYPE_1,STR_TYPE_2,STR_TYPE_3,Muni_Hyperlink,Muni_Hyperlink_Uses,Shape__Area,Shape__Length
261,R-3,PLANNING,2016/07/15 17:35:35+00,PLANNING,2019/07/31 20:16:29+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,66601.550816745,1061.44490649028
263,R-4,,,BOZEMAN,2024/12/13 20:02:34+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,176561.188084285,1787.75558704068
264,R-3,,,BOZEMAN,2025/05/01 22:51:02+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,1602549.3933244,10839.6990011854
265,R-1,PLANNING,2016/07/21 13:31:37+00,PLANNING,2019/07/31 20:16:29+00,YES,NO,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,10689.389109845,419.272911938288
266,R-2,PLANNING,2016/11/15 18:36:57+00,PLANNING,2019/07/31 20:16:29+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,2986.97985638,302.175613062465
267,BP,PLANNING,2017/01/11 15:52:17+00,PLANNING,2019/07/31 20:18:54+00,NO,NO,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.120INZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,5542.67851537,310.619331932724
268,PDZ,PLANNING,2017/02/09 21:16:28+00,BOZEMAN,2024/11/01 22:07:06+00,NO,NO,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.120INZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,178636.81202947,1830.40709220896
270,R-5,PLANNING,2017/10/02 22:22:30+00,PLANNING,2019/07/31 20:16:30+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,121861.40764929,1638.3101839315
271,R-2,PLANNING,2017/10/24 17:06:12+00,BOZEMAN,2025/01/06 23:29:36+00,YES,YES,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.100REZODINTPU,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.030AUUSESZODI,4133.86987044,264.719920844132
272,PLI,PLANNING,2018/02/05 16:54:04+00,PLANNING,2019/07/31 20:15:11+00,NO,NO,NO,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.300ZOMADE_PT2ZODIINPUST_S38.300.130PULAINDINT,PTIICOOR_CH38UNDECO_ART3ZODILAUS_DIV38.310PEUS_S38.310.040AUUSOMMIEINZODI,49668.46852865,1014.08768274296
