nominaldiameter,facilityid,capacity_notes,life,rehab_project,capacity,feet_len,material,design_link,name,comment,install_date,sliplined,maintenance,objectid,rehab_year
6,F0504_F0505,"6"" or smaller main",Active,,Greater than 75 pct obligated,360.22915172,VCP,,1902 Original Sewer,Label,1902,,City of Bozeman,2334,
6,F0503_F0504,"6"" or smaller main",Active,,Greater than 75 pct obligated,358.32528345,VCP,,1902 Original Sewer,Label,1902,,City of Bozeman,2335,
6,F0502_F0503,"6"" or smaller main",Active,,Greater than 75 pct obligated,361.33767036,VCP,,1902 Original Sewer,Label,1902,,City of Bozeman,2336,
6,F0512_F0513,"6"" or smaller main",Removed,,Greater than 75 pct obligated,477.63112707,VCP,,SID 82,,1914,,City of Bozeman,2337,
6,F0537_F0536,"6"" or smaller main",Active,,Greater than 75 pct obligated,360.16608039,VCP,,SID 328,,1939,,City of Bozeman,2338,
8,F0540_F0541,,Active,,Less than 50 pct obligated,338.94396774,VCP,,SID 426,,1962,,City of Bozeman,2339,
6,E0521_E0522,"6"" or smaller main",Active,,Greater than 75 pct obligated,281.54676288,VCP,,SID 148,,1917,,City of Bozeman,2340,
8,E0501_E0502,,Active,,Less than 50 pct obligated,231.14493041,PVC,,Ice Pond Townhouses Sanitary Sewer,Original install,1980,,City of Bozeman,2341,
6,G0567_G0568,"6"" or smaller main",Active,,Greater than 75 pct obligated,352.4103478,VCP,,SID 230,,1921,,City of Bozeman,2342,
14,G0574_G0575,,Active,,Less than 50 pct obligated,401.24680612,AC,,WPCA 125,,1969,,City of Bozeman,2343,
14,G0573_G0574,,Active,,Less than 50 pct obligated,398.34996434,AC,,WPCA 125,,1969,,City of Bozeman,2344,
14,G0572_G0573,,Active,,Less than 50 pct obligated,325.18735448,AC,,WPCA 125,,1969,,City of Bozeman,2345,
8,E0505_E0506A,,Active,,Less than 50 pct obligated,406.2944144,AC,,SID 426,,1962,,City of Bozeman,2346,
6,G0599_G0570,"6"" or smaller main",Active,,Greater than 75 pct obligated,266.96948901,DI,,1906 Original Sewer,,1906,,City of Bozeman,2347,
6,G0422_G0423,"6"" or smaller main",Active,,Greater than 75 pct obligated,290.28316715,VCP,,SID 262,,1927,,City of Bozeman,2348,
